Year of Manufacture,Car Make,Car Full Title,Cash Price (USD),Exterior,Interior,Mileage,Fuel Type,MPG,Transmission,Drivetrain,Engine,Location,Listed Since,VIN,Stock Number,Features,Financing Support,Price Category,City MPG,Highway MPG,Price Segment,Top Exterior Color,State,Top State,Listed Days,Cluster,Expected_Days_To_Sell,Probability_Sold_30Days,Total_Expected_Days
2006,Acura,2006 Acura Tl Automatic,4995,Silver,Black,195699,Gas,20 city / 29 highway,Automatic Transmission,Fwd,3.2L V-6 Gas V,"Las Vegas, Nv",18 days ago,19UUA66236A051751,9644R,Child Safety Door Locks; Power Door Locks; Vehicle Anti-Theft; ABS Brakes; Electronic Brake Assistance; Traction Control; Vehicle Stability Control System; Driver Airbag; Front Side Airbag; Passenger Airbag; Side Head Curtain Airbag; Trunk Anti-Trap Device; Keyless Entry; Air Conditioning; Separate Driver/Front Passenger Climate Controls; Cruise Control; Tachometer; Tilt Steering; Tilt Steering Column; Leather Steering Wheel; Steering Wheel Mounted Controls; Telescopic Steering Column; Tire Pressure Monitor; Trip Computer; AM/FM Radio; Cassette Player; CD Player; CD Changer; Subwoofer; Driver Multi-Adjustable Power Seat; Front Heated Seat; Front Power Lumbar Support; Front Power Memory Seat; Leather Seat; Passenger Multi-Adjustable Power Seat; Cargo Area Tiedowns; Cargo Net; Power Sunroof; Manual Sunroof; Automatic Headlights; Fog Lights; High Intensity Discharge Headlights; Front Air Dam; Alloy Wheels; Full Size Spare Tire; Power Windows; Heated Exterior Mirror; Electrochromic Interior Rearview Mirror; Power Adjustable Exterior Mirror; Interval Wipers; Rear Window Defogger; See less,No,Budget (<5K),20.0,29.0,Budget / Used,Other,nevada,Unmatched,18.0,3,26.640224867770197,0.3887163193485585,44.64022486777019
2014,Honda,2014 Honda Civic Lx Sedan Cvt,10900,Taffeta White,Gray,70996,Gas,30 city / 39 highway,Automatic Transmission,Fwd,1.8L Inline-4 Gas Inline,"South Chesterfield, Va",19 days ago,19XFB2F51EE009632,009632,Wheel Type; Backup Camera; Bluetooth; Traction Control; Steel Wheels; CD/MP3 (Single Disc); ABS (4-Wheel); Backup Camera; Automatic CVT; Alarm System; Power Door Locks; Daytime Running Lights; FWD; Cruise Control; Stability Control; Dual Air Bags; Tilt & Telescoping Wheel; Side Air Bags; Power Steering; Power Windows; Keyless Entry; Bluetooth Wireless; Air Conditioning; AM/FM Stereo; F&R Head Curtain Air Bags; 4-Cyl i-VTEC 1.8 Liter; See less,No,Affordable (5K-15K),30.0,39.0,Affordable,Other,virginia,virginia,19.0,5,13.714873367769377,0.6496494501194017,32.71487336776937
2012,Honda,2012 Honda Civic Lx Sedan Automatic,5995,Taffeta White,Gray,158731,Gas,28 city / 39 highway,Automatic Transmission,Fwd,1.8L Inline-4 Gas Inline,"San Antonio, Tx",18 days ago,19XFB2F52CE321097,9072,,No,Affordable (5K-15K),28.0,39.0,Affordable,Other,texas,texas,18.0,5,29.810965347210683,0.441857509306388,47.81096534721068
2015,Honda,2015 Honda Civic Lx Sedan Cvt,4999,Gray,Gray,240591,Gas,30 city / 39 highway,Automatic Transmission,Fwd,1.8L Inline-4 Gas Inline,"Tampa, Fl",12 days ago,19XFB2F52FE026960,FE026960T,Wheel Type; Backup Camera; Bluetooth; Driver Air Bag; Passenger Air Bag; Front Side Air Bag; Front Head Air Bag; Rear Head Air Bag; A/C; Security System; AM/FM Stereo; CD Player; ABS; Front Disc/Rear Drum Brakes; Cruise Control; Rear Defrost; Child Safety Locks; Front Wheel Drive; 4 Cylinder Engine; Floor Mats; Gasoline Fuel; Daytime Running Lights; Keyless Entry; Power Door Locks; Power Mirror(s); Cloth Seats; Bucket Seats; Power Steering; Adjustable Steering Wheel; Tires - Front All-Season; Tires - Rear All-Season; Temporary Spare Tire; Traction Control; Power Windows; Intermittent Wipers; CVT Transmission; MP3 Player; Steering Wheel Audio Controls; Engine Immobilizer; Automatic Headlights; Driver Vanity Mirror; Passenger Vanity Mirror; Remote Trunk Release; Tire Pressure Monitor; Trip Computer; Wheel Covers; Steel Wheels; Bluetooth; Back-Up Camera; Stability Control; Brake Assist; Auxiliary Audio Input; See less,No,Budget (<5K),30.0,39.0,Budget / Used,Gray,florida,florida,12.0,5,37.958155325357005,0.3451285506538216,49.958155325357005
2015,Honda,2015 Honda Civic Se Sedan Cvt,8500,Crystal Black Pearl,Gray,133761,Gas,30 city / 39 highway,Automatic Transmission,Fwd,1.8L Inline-4 Gas Inline,"San Antonio, Tx",28 days ago,19XFB2F72FE088750,088750,Wheel Type; Backup Camera; Bluetooth; Power Steering; Stability Control; Alloy Wheels; Tilt & Telescoping Wheel; Automatic CVT; Daytime Running Lights; F&R Head Curtain Air Bags; Dual Air Bags; Traction Control; Backup Camera; FWD; CD/MP3 (Single Disc); LaneWatch Blind-Spot; Side Air Bags; AM/FM Stereo; Power Windows; Power Door Locks; Cruise Control; Keyless Entry; Bluetooth Wireless; Alarm System; ABS (4-Wheel); 4-Cyl i-VTEC 1.8 Liter; Air Conditioning; See less,No,Affordable (5K-15K),30.0,39.0,Affordable,Other,texas,texas,28.0,5,14.757054228319737,0.5282691942266252,42.75705422831973
2019,Honda,2019 Honda Civic Lx Sedan Cvt,12158,Crystal Black Pearl,Black,87423,Gas,30 city / 38 highway,Automatic Transmission,Fwd,2.0L Inline-4 Gas Inline,"Miami Lakes, Fl",57 days ago,19XFC2F66KE015640,JX5191A,Wheel Type; Cruise Control; Lane Keep Assist; Backup Camera; Bluetooth; 4 Speakers; AM/FM radio; Radio data system; Radio: 160-Watt AM/FM Audio System; Air Conditioning; Automatic temperature control; Rear window defroster; Power steering; Power windows; Remote keyless entry; Steering wheel mounted audio controls; Four wheel independent suspension; Speed-sensing steering; Traction control; 4-Wheel Disc Brakes; ABS brakes; Dual front impact airbags; Dual front side impact airbags; Front anti-roll bar; Low tire pressure warning; Occupant sensing airbag; Overhead airbag; Rear anti-roll bar; Brake assist; Electronic Stability Control; Forward collision: Collision Mitigation Braking System (CMBS) + FCW mitigation; Lane departure: Lane Keeping Assist System (LKAS) active; Exterior Parking Camera Rear; Auto High-beam Headlights; Delay-off headlights; Fully automatic headlights; Panic alarm; Security system; Speed control; Bumpers: body-color; Power door mirrors; Cloth Seat Trim; Driver door bin; Driver vanity mirror; Front reading lights; Illuminated entry; Outside temperature display; Passenger vanity mirror; Tachometer; Telescoping steering wheel; Tilt steering wheel; Trip computer; Front Bucket Seats; Front Center Armrest; Passenger door bin; 16'' Wheels w/Full Covers; BACKUP CAMERA; BLUETOOTH; MANAGER'S SPECIAL!; GREAT VALUE!; ECONOMY CAR!; GREAT FIRST CAR !!; MUST SEE!; GREAT CONDITION; PRICE TO SELL; WON'T LAST HURRY UP!!; ALLOY WHEELS; POWER PACKAGE; See less,Yes,Affordable (5K-15K),30.0,38.0,Affordable,Other,florida,florida,57.0,6,13.2,0.3892555119936366,70.2
2013,Chrysler,2013 Chrysler 200 S Convertible,8991,Bright White,Black,51995,Gas,19 city / 29 highway,Automatic Transmission,Fwd,3.6L V-6 Gas V,"Sarasota, Fl",24 days ago,1C3BCBGG2DN693519,693519,"3.6L VVT 24 Valve V6 Engine; 6 Speed Automatic Transmission; 27S S Customer Preferred Order Selection PKG; Bright White PWR Retractable Hard Top; Black, Leather Trimmed S Bucket Seats; Touring Suspension; Wheel Type; Premium Audio; Seat Material; Front Heated Seats; Remote Engine Start; Bluetooth; 27S S Customer Preferred Order Selection Pkg; 3.6L Vvt 24-Valve V6 Engine; 50 State Emissions; 6-Speed Automatic Transmission; 6E1 Order Code; Black; Leather-Trimmed S Bucket Seats; Bright White; Bright White Pwr Retractable Hard Top; Touring Suspension; See less",No,Affordable (5K-15K),19.0,29.0,Affordable,Other,florida,florida,24.0,5,30.557677772644134,0.3278377838582937,54.55767777264413
2015,Chrysler,2015 Chrysler 200 Limited Fwd,9999,Bright White Clearcoat,Black,75612,Gas,23 city / 36 highway,Automatic Transmission,Fwd,2.4L Inline-4 Gas Inline,"Mesa, Az",290 days ago,1C3CCCAB2FN596007,MP8857,"Engine: 2.4L I4 Pzev M Air; Transmission: 9 Speed 948te Automatic; Quick Order Package 24E; 17"" X 7.5"" Tech Silver Aluminum Wheels; Tires: P215/55R17 BSW As; Black, Premium Cloth Bucket Seats; Convenience Group; Power 8 Way Driver Seat; Parkview Rear Back Up Camera; See less; Wheel Type; Backup Camera; Bluetooth; Convenience Group; Quick Order Package 24E; 6 Speakers; AM/FM radio; Integrated Voice Command w/Bluetooth; See all features",Yes,Affordable (5K-15K),23.0,36.0,Affordable,Other,arizona,Unmatched,290.0,4,25.35,0.1843351017567386,315.35
2015,Chrysler,2015 Chrysler 200 S Awd,9299,Velvet Red Pearlcoat,Black,80536,Gas,18 city / 29 highway,Automatic Transmission,Awd,3.6L V-6 Gas V,"Dallas, Tx",150 days ago,1C3CCCDGXFN523183,523183,"Engine: 3.6L V6 24V VVT; Transmission: 9 Speed 9HP48 Automatic; Quick Order Package 26L; 18"" X 8.0"" Satin Carbon Aluminum Wheels; Tires: P235/45R18 BSW As; Black, Cloth with Leather Trimmed Sport Seats; Comfort Group; Navigation & Sound Group I; Radio: Uconnect 8.4an Am/FM/SXM/HD/BT/Nav; See less; Wheel Type; Premium Audio; Navigation; Seat Material; Front Heated Seats; See all features",Yes,Affordable (5K-15K),18.0,29.0,Affordable,Other,texas,texas,150.0,1,10.95,0.5018414136767784,160.95
2016,Chrysler,2016 Chrysler 200 Touring Fwd,5995,Bright White Clearcoat,Black,155900,Gas,23 city / 36 highway,Automatic Transmission,Fwd,2.4L Inline-4 Gas Inline,"Midlothian, Il",9 days ago,1C3CCCFB5GN182133,P3013,"Engine: 2.4L I4 Multiair; Transmission: 9 Speed 948te Automatic; Quick Order Package 28B 200 Touring; Black, Premium Cloth Bucket Seats; Bluetooth; Uconnect 5.0; Keyless Entry; Dual Air Bags; F&R Head Curtain Air Bags; Power Trunk Release; Automatic 9-Spd; Power Steering; ABS (4-Wheel); FWD; Knee Air Bags; Tilt & Telescoping Wheel; Keyless Start; 4-Cyl MultiAir FF 2.4L; Side Air Bags; Electronic Stability Control; AM/FM Stereo; Power Windows; Power Door Locks; Alloy Wheels; Cruise Control; Traction Control; Alarm System; Bluetooth Wireless; See less",No,Affordable (5K-15K),23.0,36.0,Affordable,Other,illinois,Unmatched,9.0,5,39.81618242428581,0.3607826478073802,48.81618242428581
